"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"31544","26571","Não","S - Venda","23,75","23,75","0,00","DÉBITO - REDE CARD","1,00","Cortina Box 180x180cm","Bazar","Bazar","(blank)"
"31544","2985","Não","S - Venda","48,25","48,25","0,00","DÉBITO - REDE CARD","1,00","Frigideira Tramontina Turim 26 Chumbo","Panelas e Afins","Utilidades Domesticas","(blank)"
"31544","6484","Não","S - Venda","1,50","1,50","0,00","DÉBITO - REDE CARD","1,00","Adesivo Instantaneo 3.5g Vonder","Caixas","Caixas","(blank)"
"31544","28380","Não","S - Venda","20,50","20,50","0,00","DINHEIRO","1,00","Espatula 27cm Silicone Vazada Vm 425VM","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31544","2961","Não","S - Venda","64,75","64,75","0,00","DINHEIRO","1,00","Frigideira Tramontina Turim 24 Vm","Panelas e Afins","Utilidades Domesticas","(blank)"
"31545","22971","Não","S - Venda","57,75","57,75","0,00","DÉBITO - BANRISUL","1,00","Barra Apoio 30cm 1830","Acessorios de Banheiro","Hidraulicos","(blank)"
"31545","28232","Não","S - Venda","135,00","135,00","0,00","DINHEIRO","2,00","Cupula 10X30X16 Tec Linho Claro","Decoracao e Luminarias","Elétrica","(blank)"
"31545","112284","Não","S - Venda","1,00","1,00","0,00","CRÉDITO 1X - REDE CARD","4,00","Porca Sextavada 5/16","Fixadores","Ferragem","(blank)"
"31545","27295","Não","S - Venda","17,00","17,00","0,00","CRÉDITO 1X - REDE CARD","1,00","Prateleira Concreto 1.2x15x40cm Sup Cz Me Leve","Moveis e Decoração","Moveis e Decoração","(blank)"
"31545","21891","Não","S - Venda","38,00","38,00","0,00","CRÉDITO 1X - REDE CARD","4,00","Pe Conico 110mm P/ Cama Box Tabaco","Puxadores e Fechaduras","Ferragem","(blank)"
"31545","9794522","Não","S - Venda","31,50","31,50","0,00","CRÉDITO 1X - REDE CARD","2,00","Cantoneira Mao Francesa 27cm Dtools Br","Acessorios de Ferragem","Ferragem","(blank)"
"31545","9794524","Não","S - Venda","5,50","5,50","0,00","CRÉDITO 1X - REDE CARD","1,00","Ralinho Pia Amer. Inox 2.1/2 Atlas","Pecas Frias","Hidraulicos","(blank)"
"31546","4191","Não","S - Venda","26,50","26,50","0,00","DINHEIRO","2,00","Tigela Americano C/tampa 600ml","Loucas de Servir","Loucas","(blank)"
"31546","228701","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Caneta Esf Cristal Bic Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"31546","23301","Não","S - Venda","3,25","3,25","0,00","DINHEIRO","1,00","Cartolina 50x66 Br 1 Fl","Papelaria","Escolar/escritorio","(blank)"
"31547","30067","Não","S - Venda","29,90","29,90","0,00","CRÉDITO 3X - REDE CARD","1,00","Ralador 4 Faces Inox IXB10005","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31547","9794855","Não","S - Venda","16,00","16,00","0,00","CRÉDITO 3X - REDE CARD","1,00","Cj Sal e Palito C/ Suporte Black 36cm","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31547","2633","Não","S - Venda","20,99","20,99","0,00","CRÉDITO 3X - REDE CARD","1,00","Faca Peixeira Tramontina Dynamic Cb Mad 7","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31547","9792240","Não","S - Venda","85,00","85,00","0,00","CRÉDITO 3X - REDE CARD","1,00","Tabua Madeira Retangular P/ Churrasco Teca Natural","Churrasco","Utilidades Domesticas","(blank)"
"31547","26415","Não","S - Venda","7,75","7,75","0,00","CRÉDITO 3X - REDE CARD","1,00","Tampa Ralo Pia 15Cm CLA0708","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31547","24907","Não","S - Venda","11,50","11,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Suporte Celular Max-2135","Bazar","Bazar","(blank)"
"31547","14502","Não","S - Venda","23,50","23,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Painel Led 18W Lys Quadrado Sobrepor 6500K","Decoracao e Luminarias","Elétrica","(blank)"
"31547","14503","Não","S - Venda","35,50","35,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Painel Led 24W Lys Quadrado Sobrepor 6500K","Decoracao e Luminarias","Elétrica","(blank)"
"31547","21617","Não","S - Venda","73,00","73,00","0,00","CRÉDITO 3X - REDE CARD","1,00","Assento Herc Almofadado Prime Pt","Acessorios de Banheiro","Hidraulicos","(blank)"
"31547","24906","Não","S - Venda","47,80","47,80","0,00","CRÉDITO 3X - REDE CARD","2,00","Lampada Led Avant Br 09w 6500k Bivolt 6un","Lampadas","Elétrica","(blank)"
"31547","7836","Não","S - Venda","0,50","0,50","0,00","QR LINX - PIX","1,00","Chiclete Bubbaloo Hortela 5g","Caixas","Caixas","(blank)"
"31547","31169","Não","S - Venda","3,25","3,25","0,00","QR LINX - PIX","1,00","Caneta Esf 0.7mm Cis Spiro Gem Prata","Acessorios Escolares","Escolar/escritorio","(blank)"
"31547","7835","Não","S - Venda","0,50","0,50","0,00","QR LINX - PIX","1,00","Bubbaloo Tutti Frutti","Caixas","Caixas","(blank)"
"31547","9791899","Não","S - Venda","0,50","0,50","0,00","QR LINX - PIX","1,00","Chiclete Adams Bubbaloo Uva","Caixas","Caixas","(blank)"
"31547","25777","Não","S - Venda","19,95","19,95","0,00","DINHEIRO","5,00","Touca Banho Art Beauty  Lisa 3 Pcs","Bazar","Bazar","(blank)"
"31548","4235","Não","S - Venda","37,00","37,00","0,00","DINHEIRO","1,00","Assadeira Marinex 2.4ml Redonda","Loucas de Servir","Loucas","(blank)"
"31548","5496","Não","S - Venda","52,99","52,99","0,00","DINHEIRO","1,00","Extensao Tripla 2p T 10a/250v 5m","Residencial","Elétrica","(blank)"
"31548","28350","Não","S - Venda","38,00","38,00","0,00","DINHEIRO","1,00","Refil Mop Esfregao 55cm Alem Mar","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31548","228701","Não","S - Venda","1,25","1,25","0,00","DINHEIRO","1,00","Caneta Esf Cristal Bic Pt","Acessorios Escolares","Escolar/escritorio","(blank)"
"31548","9840","Não","S - Venda","5,50","5,50","0,00","DINHEIRO","1,00","Caneta 0.7mm Cis Electra Az","Acessorios Escolares","Escolar/escritorio","(blank)"
"31548","11146","Não","S - Venda","90,75","90,75","0,00","DINHEIRO","1,00","Ducha Maxi Banho Ultra Com Cano 5500w 220v - Lorenzetti","Chuveiros e Aquecedores","Elétrica","(blank)"
"31549","9794410","Não","S - Venda","9,25","9,25","0,00","DINHEIRO","1,00","Luva Malha Emborrachada Grossa Startools","Acessorios de Ferragem","Ferragem","(blank)"
"31549","15661","Não","S - Venda","7,50","7,50","0,00","CRÉDITO 2X - REDE CARD","1,00","Organizador 3.75ml Giplas Quad Alto Home Sort Pqah-40","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31549","12975","Não","S - Venda","45,50","45,50","0,00","CRÉDITO 2X - REDE CARD","2,00","Luminaria Emergencia 30 Leds Autonoma","Decoracao e Luminarias","Elétrica","(blank)"
"31549","24778","Não","S - Venda","29,99","29,99","0,00","CRÉDITO 2X - REDE CARD","1,00","Lanterna Recarr 05 Leds Bivolt 5cm","Decoracao e Luminarias","Elétrica","(blank)"
"31549","5460","Não","S - Venda","8,00","8,00","0,00","CRÉDITO 2X - REDE CARD","1,00","Tomada Sobrepor 10a/250v Br","Residencial","Elétrica","(blank)"
"31549","6485","Não","S - Venda","5,00","5,00","0,00","DÉBITO - REDE CARD","1,00","Adesivo Instantaneo 7.5g Vonder","Caixas","Caixas","(blank)"
"31549","18875","Não","S - Venda","16,25","16,25","0,00","DÉBITO - REDE CARD","1,00","Coleira Nylon C/ Eva N4","Pet","Pet","(blank)"
"31550","6428","Não","S - Venda","14,00","14,00","0,00","DINHEIRO","1,00","Fita Dupla Face Espuma 12Mmx10,0M 954","Acessorios de Ferragem","Ferragem","(blank)"
"31550","9940","Não","S - Venda","12,00","12,00","0,00","DINHEIRO","1,00","Pote Sanremo Redondo 1.5l","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31550","10521","Não","S - Venda","8,49","8,49","0,00","DINHEIRO","1,00","Borrifador 350ml Sanremo Plast","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31550","8035","Não","S - Venda","4,75","4,75","0,00","DINHEIRO","1,00","Escova Limp Delicada Plast Novica","Lavanderia","Lavanderia","(blank)"
"31550","28236","Não","S - Venda","24,75","24,75","0,00","QR LINX - PIX","1,00","Cupula Tnt 8X20X12 Creme Raio de Sol","Decoracao e Luminarias","Elétrica","(blank)"
"31550","13736","Não","S - Venda","4,75","4,75","0,00","QR LINX - PIX","1,00","Saca Rolhas Viel 3109 Cb Plast","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31550","9792625","Não","S - Venda","33,00","33,00","0,00","QR LINX - PIX","3,00","Forma Gelo Flexivel Plastico Sanremo","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31550","2594","Não","S - Venda","21,50","21,50","0,00","QR LINX - PIX","1,00","Cadeado Pado Lt-25mm","Caixas","Caixas","(blank)"
"31550","17375","Não","S - Venda","8,00","8,00","0,00","QR LINX - PIX","1,00","Bocal Pendente Abajur Plastico Pt Foxlux","Residencial","Elétrica","(blank)"
"31550","14507","Não","S - Venda","5,25","5,25","0,00","QR LINX - PIX","1,00","Lampada Led Br Neut Tkl 40 / 7W 4000K Taschibra","Residencial","Elétrica","(blank)"
"31551","13721","Não","S - Venda","25,00","25,00","0,00","DINHEIRO","10,00","Colher Sobrem Viel 2110","Talheres de Mesa","Utilidades Domesticas","(blank)"
"31551","18593","Não","S - Venda","3,25","3,25","0,00","DÉBITO - BANRISUL","1,00","Argila Escolar Dore 1kg","Acessorios Escolares","Escolar/escritorio","(blank)"
"31551","9793714","Não","S - Venda","15,25","15,25","0,00","DINHEIRO","1,00","Suporte Fixo Tv 14"" A 84"" Pt","Acessorios Tv","Elétrica","(blank)"
"31551","28114","Não","S - Venda","58,00","58,00","0,00","DINHEIRO","1,00","Kit Cortina 2.00m Duplo Imbuia","Bazar","Bazar","(blank)"
"31552","4354","Não","S - Venda","4,75","4,75","0,00","DINHEIRO","1,00","Forminha Cupcake Imperm C/45 Vm","Festas","Festas","(blank)"
"31552","16700","Não","S - Venda","4,75","4,75","0,00","DINHEIRO","1,00","Saboneteira","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31552","3599","Não","S - Venda","8,25","8,25","0,00","DINHEIRO","1,00","Feirinha Plasvale 1232","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31552","9793056","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Concha Dia - a - Dia Pt Cinquetti","Talheres de Servir","Utilidades Domesticas","(blank)"
"31552","20738","Não","S - Venda","28,00","28,00","0,00","DINHEIRO","4,00","Mang Tranc Multiuso 3/8 Vonder","Fracionados","Fracionados","(blank)"
"31552","396332","Não","S - Venda","8,00","8,00","0,00","DINHEIRO","4,00","Abracadeira Rsf Borboleta 13-19mm","Fixadores","Ferragem","(blank)"
"31552","19787","Não","S - Venda","22,25","22,25","0,00","DINHEIRO","1,00","Tinta Spray 350ml Ug Vermelho Tekbond","Quimicos","Ferragem","(blank)"
"31552","19789","Não","S - Venda","22,25","22,25","0,00","DINHEIRO","1,00","Tinta Spray 350ml Ug Amarelo Tekbond","Quimicos","Ferragem","(blank)"
"31552","19793","Não","S - Venda","22,25","22,25","0,00","DINHEIRO","1,00","Tinta Spray 350ml Ug Branco Fosco Tekbond","Quimicos","Ferragem","(blank)"
"31552","9794855","Não","S - Venda","16,00","16,00","0,00","BANRICOMPRAS 1X TEF","1,00","Cj Sal e Palito C/ Suporte Black 36cm","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31552","31254","Não","S - Venda","35,75","35,75","0,00","BANRICOMPRAS 1X TEF","1,00","Cj Pote Organizador Conecta Trans Plast C/ Tampa Capuccino Uz","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31553","29183","Não","S - Venda","2,99","2,99","0,00","DINHEIRO","1,00","Tela Protetora Ferro Passar Roupa","Bazar","Bazar","(blank)"
"31553","9794886","Não","S - Venda","99,90","99,90","0,00","DINHEIRO","1,00","Tabua Passar Classic Tramontina","Lavanderia","Lavanderia","(blank)"
"31553","9792646","Não","S - Venda","19,00","19,00","0,00","DINHEIRO","1,00","Bandeja Inox 35x26x4cm CM24","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31553","29370","Não","S - Venda","38,50","38,50","0,00","DÉBITO - REDE CARD","1,00","Tapete 38x58cm Pvc Escama Sortido","Bazar","Bazar","(blank)"
"31553","9794026","Não","S - Venda","10,75","10,75","0,00","DÉBITO - REDE CARD","1,00","Pote 1.2l Pop Ret  B2","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31553","3703","Não","S - Venda","21,75","21,75","0,00","DÉBITO - REDE CARD","1,00","Pote Mais Plasvale 4.5L","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31553","14212","Não","S - Venda","7,75","7,75","0,00","DÉBITO - REDE CARD","1,00","Pote Jaguar 1220ml Red Art Decor 2","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31553","9931","Não","S - Venda","10,50","10,50","0,00","DÉBITO - REDE CARD","1,00","Pote Sanremo Retang P Alto","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31553","6453","Não","S - Venda","29,25","29,25","0,00","DÉBITO - REDE CARD","1,00","Afiador Facas Nove54","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31554","16281","Não","S - Venda","12,50","12,50","0,00","DÉBITO - REDE CARD","2,00","Flanela Ouro 38x58 Cm","Bazar","Bazar","(blank)"
"31554","7253","Não","S - Venda","2,75","2,75","0,00","DINHEIRO","1,00","Sprite Original Lata 220ml","Bebidas","Bebidas","(blank)"
"31554","7835","Não","S - Venda","0,50","0,50","0,00","DINHEIRO","1,00","Bubbaloo Tutti Frutti","Caixas","Caixas","(blank)"
"31554","14548","Não","S - Venda","4,00","4,00","0,00","DINHEIRO","1,00","Lampada Led Taschibra Tkl 60 9W 6500K","Lampadas","Elétrica","(blank)"
"31554","4454","Não","S - Venda","9,50","9,50","0,00","DINHEIRO","1,00","Sifao Sanfonado Universal Astra","Acessorios de Banheiro","Hidraulicos","(blank)"
"31555","16216","Não","S - Venda","11,25","11,25","0,00","DÉBITO - REDE CARD","1,00","Fita Veda Rosca 25m Tigre","Tubos e Conexoes","Hidraulicos","(blank)"
"31555","26291","Não","S - Venda","27,25","27,25","0,00","DÉBITO - REDE CARD","1,00","Tapete Box 37x68cm P DTA0217","Acessorios de Banheiro","Hidraulicos","(blank)"
"31555","7042","Não","S - Venda","58,75","58,75","0,00","DÉBITO - BANRISUL","1,00","Agenda Planejamento Espiral 175X242Mm Cd 160Pgs 04/Pt O Pequeno Principe Fsc","Cadernos","Escolar/escritorio","(blank)"
"31555","1253","Não","S - Venda","3,25","3,25","0,00","DINHEIRO","1,00","Trident Fresh Intense","Caixas","Caixas","(blank)"
"31555","16281","Não","S - Venda","6,25","6,25","0,00","DINHEIRO","1,00","Flanela Ouro 38x58 Cm","Bazar","Bazar","(blank)"
"31556","9794649","Não","S - Venda","14,25","14,25","0,00","DINHEIRO","1,00","Forma P/ Air Fryer Red 17CMX20CMX5CM BS0120","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31556","9793714","Não","S - Venda","15,25","15,25","0,00","DINHEIRO","1,00","Suporte Fixo Tv 14"" A 84"" Pt","Acessorios Tv","Elétrica","(blank)"
"31556","28111","Não","S - Venda","50,75","50,75","0,00","DINHEIRO","1,00","Kit Cortina 4.00m Br","Bazar","Bazar","(blank)"
"31556","12809","Não","S - Venda","20,50","20,50","0,00","DINHEIRO","1,00","Escorredor Copos Niquelart 119 Cr","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31556","4082","Não","S - Venda","23,00","23,00","0,00","DINHEIRO","4,00","Copo Nadir 264ml Long Drink Bar","Loucas de Mesa","Loucas","(blank)"
"31556","2492","Não","S - Venda","16,00","16,00","0,00","DINHEIRO","1,00","Vassoura Sanit Condor 6120","Acessorios de Banheiro","Hidraulicos","(blank)"
"31556","9794642","Não","S - Venda","19,25","19,25","0,00","DINHEIRO","1,00","Ralador Plano 33X12.5/3.8CM BU0011","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31557","9280","Não","S - Venda","4,50","4,50","0,00","BANRICOMPRAS 1X TEF","1,00","Dori Bala Gomets Goma Gomos De Frutas 150Gr","Caixas","Caixas","(blank)"
"31557","6617","Não","S - Venda","12,50","12,50","0,00","BANRICOMPRAS 1X TEF","2,00","Trigo Seco Haste","Flores Artificiais","Jardinagem/flores","(blank)"
"31557","11501","Não","S - Venda","29,00","29,00","0,00","BANRICOMPRAS 1X TEF","1,00","Brinquedo Pequena Doutora","Brinquedos","Brinquedos","(blank)"
"31557","12783","Não","S - Venda","15,49","15,49","0,00","BANRICOMPRAS 1X TEF","1,00","Mini Coador Mesa 6.5cm","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31557","20227","Não","S - Venda","15,00","15,00","0,00","BANRICOMPRAS 1X TEF","1,00","Cj Acessorios Praia 6 Pcs GGB Plast","Brinquedos","Brinquedos","(blank)"
"31557","11399","Não","S - Venda","7,75","7,75","0,00","BANRICOMPRAS 1X TEF","1,00","Coador Plastico Dpg N09 0545","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31557","30102","Não","S - Venda","11,00","11,00","0,00","BANRICOMPRAS 1X TEF","1,00","Luva Cozinha Termica CLA01019","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31557","13431","Não","S - Venda","11,50","11,50","0,00","BANRICOMPRAS 1X TEF","1,00","Porta Leite Delta Util Pl1750","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31557","9792411","Não","S - Venda","6,00","6,00","0,00","QR LINX - PIX","2,00","Cola Bastao 40g Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"31557","4841","Não","S - Venda","7,00","7,00","0,00","QR LINX - PIX","4,00","Lapis Grafite Ecolapis 1205 Max C/Borracha 1205M/B","Acessorios Escolares","Escolar/escritorio","(blank)"
"31557","30581","Não","S - Venda","2,75","2,75","0,00","QR LINX - PIX","1,00","Lapiseira 0.5mm Grip","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","16257","Não","S - Venda","19,50","19,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Squeeze 550ml Pet Sl Princesas S/Tubo Gelo","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31558","3616","Não","S - Venda","7,00","7,00","0,00","CRÉDITO 3X - REDE CARD","1,00","Sanduicheira Plasvale","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31558","26670","Não","S - Venda","44,75","44,75","0,00","CRÉDITO 3X - REDE CARD","1,00","Lancheira Infantil Fem Winth Stylus Debie BPD32612","Mochilas","Escolar/escritorio","(blank)"
"31558","29916","Não","S - Venda","25,00","25,00","0,00","CRÉDITO 3X - REDE CARD","2,00","Cj Infantil C/4Pcs RJ5147","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31558","26540","Não","S - Venda","66,25","66,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Mochila Mini Winth Bichos Neo BPC33566","Mochilas","Escolar/escritorio","(blank)"
"31558","10537","Não","S - Venda","13,50","13,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Garrafa Esport Abre Facil Sanremo","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"31558","9794265","Não","S - Venda","44,25","44,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Esrojo Fem Travel 3Z 21 WPE00897","Mochilas","Escolar/escritorio","(blank)"
"31558","30562","Não","S - Venda","3,50","3,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Corretivo Caneta 8ml Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31183","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Glow Lj","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31177","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Glow Az","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31189","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Clean Ll","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31196","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Ll","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31197","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Vd","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31179","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Glow Vm","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","31188","Não","S - Venda","3,25","3,25","0,00","CRÉDITO 3X - REDE CARD","1,00","Caneta Esf 0.7mm Cis Spiro Clean Rs","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","9794449","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","1,00","Borracha Mini Dadinhos","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","9794444","Não","S - Venda","4,00","4,00","0,00","DINHEIRO","1,00","Borracha Fantasia Picole CIS","Acessorios Escolares","Escolar/escritorio","(blank)"
"31558","29294","Não","S - Venda","25,25","25,25","0,00","CRÉDITO HIPERCARD 1X - REDE CARD","1,00","Ralador Inox","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31558","20747","Não","S - Venda","2,00","2,00","0,00","CRÉDITO HIPERCARD 1X - REDE CARD","4,00","Chicle Pluto Abraco Congelante","Caixas","Caixas","(blank)"
"31559","42","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Halls Menta Prata","Caixas","Caixas","(blank)"
"31559","9794046","Não","S - Venda","20,25","20,25","0,00","QR LINX - PIX","1,00","Peneira / Coador 16cm Aco Inox","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"31559","9414","Não","S - Venda","10,25","10,25","0,00","QR LINX - PIX","1,00","Pilha Panasonic Comum Aaa C4","Caixas","Caixas","(blank)"
"31559","9794062","Não","S - Venda","20,25","20,25","0,00","QR LINX - PIX","1,00","Cesto Organizador C/ Tampa Pt 18X13X8cm Linea","Lavanderia","Lavanderia","(blank)"
"31559","20068","Não","S - Venda","0,10","0,10","0,00","DINHEIRO","1,00","Parafuso Mad Fenda Combinada Ac 3.5x16","Fixadores","Ferragem","(blank)"
"31559","122658","Não","S - Venda","0,10","0,10","0,00","DINHEIRO","1,00","Bucha Pvc 05","Fixadores","Ferragem","(blank)"
"31559","15700","Não","S - Venda","1,50","1,50","0,00","DINHEIRO","1,00","Transferidor 360 Graus Chanfrado","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","9789827","Não","S - Venda","5,50","5,50","0,00","DINHEIRO","1,00","Apontador Jumbo C/ Deposito Faber","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","5029","Não","S - Venda","4,00","4,00","0,00","DINHEIRO","2,00","Lapis Grafite Faber Grip 2001 Neon","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","16053","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","1,00","Cola Branca Maxi Cola 90g","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","9792441","Não","S - Venda","3,00","3,00","0,00","DINHEIRO","4,00","Lapis Hb Grafite C/ Bor Sustentavel Pastel","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","30578","Não","S - Venda","0,75","0,75","0,00","DINHEIRO","1,00","Lapis Onda Hb Grafite Tabuada C/ Borracha","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","14914","Não","S - Venda","2,50","2,50","0,00","DINHEIRO","1,00","Caneta Esf Triball 1.0mm Az Jocar Office","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","9792432","Não","S - Venda","1,50","1,50","0,00","DINHEIRO","2,00","Lapis Hb Grafite Onda Aloha C/ Borracha","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","1375","Não","S - Venda","8,25","8,25","0,00","DINHEIRO","1,00","Caneta Esf 061 Ice Az ICE/AZ","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","6","Não","S - Venda","2,50","2,50","0,00","DINHEIRO","1,00","Caneta Esf 1.0mm Essentials Ice Az","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","30562","Não","S - Venda","3,50","3,50","0,00","DINHEIRO","1,00","Corretivo Caneta 8ml Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","9794150","Não","S - Venda","38,50","38,50","0,00","BANRICOMPRAS 2X TEF","2,00","Prateleira Pt Me Leve 1.2x20x40cm C/ Sup Pt","Moveis e Decoração","Moveis e Decoração","(blank)"
"31560","9794151","Não","S - Venda","28,75","28,75","0,00","BANRICOMPRAS 2X TEF","1,00","Prateleira Pt Me Leve 1.2x20x60cm C/ Sup Pt","Moveis e Decoração","Moveis e Decoração","(blank)"
"31560","9792435","Não","S - Venda","1,50","1,50","0,00","BANRICOMPRAS 2X TEF","2,00","Lapis Hb Grafite Onda Hey Hey Reis C/Borracha","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","9792411","Não","S - Venda","3,00","3,00","0,00","BANRICOMPRAS 2X TEF","1,00","Cola Bastao 40g Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"31560","7839","Não","S - Venda","3,25","3,25","0,00","BANRICOMPRAS 2X TEF","1,00","Trident Menta","Caixas","Caixas","(blank)"
"31560","9779","Não","S - Venda","3,25","3,25","0,00","BANRICOMPRAS 2X TEF","1,00","Mentos Frutas Stick 37.5g","Caixas","Caixas","(blank)"
"31560","30562","Não","S - Venda","3,50","3,50","0,00","BANRICOMPRAS 2X TEF","1,00","Corretivo Caneta 8ml Onda","Acessorios Escolares","Escolar/escritorio","(blank)"
"31561","19390","Não","S - Venda","2,00","2,00","0,00","DINHEIRO","2,00","Conector Cabo Coaxial C/anel","Acessorios Tv","Elétrica","(blank)"
"31561","426862","Não","S - Venda","1,50","1,50","0,00","DINHEIRO","2,00","Conector Coaxial Rosc Rg59 Mister","Acessorios Tv","Elétrica","(blank)"
"31561","21854","Não","S - Venda","20,00","20,00","0,00","DINHEIRO","2,00","Pe Apolo 130mm Cromado/Cz 006.051.1054","Puxadores e Fechaduras","Ferragem","(blank)"
"31561","449069","Não","S - Venda","15,25","15,25","0,00","DINHEIRO","1,00","Plastico Mesa Croche 50cm 0340u","Fracionados","Fracionados","(blank)"
"31561","4392","Não","S - Venda","10,00","10,00","0,00","DINHEIRO","1,00","Papeleira Plast P Astra Br","Acessorios de Banheiro","Hidraulicos","(blank)"
"31561","9794791","Não","S - Venda","13,50","13,50","0,00","DINHEIRO","1,00","Suporte P/ Escova Dente Adesivo","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"31561","9791432","Não","S - Venda","20,25","20,25","0,00","DINHEIRO","1,00","Guarda Chuva Infantil 55cm","Bazar","Bazar","(blank)"
"31561","9794315","Não","S - Venda","14,25","14,25","0,00","DINHEIRO","1,00","Balde Plast 10l Plasvale","Lavanderia","Lavanderia","(blank)"
